采集时间,数据条数,工作电压,平均风速,风向,降雨量,平均温度,湿度,气压,总辐射,总辐射累计量,日照时数,土壤水分,土壤温度,土壤介电常数,土壤电导率,土壤水分,土壤温度,土壤介电常数,土壤电导率,土壤水分,土壤温度,土壤介电常数,土壤电导率
2019/10/27 5:00,986,12.73558,3.913,290.9,0,12.67,57.54,1003,-1.806,-0.003,0.5,35.09999,14.11167,21.05667,0.6,25.97,15.63667,14.07,0.4,17.995,16.4,9.27,0.3
2019/10/27 5:30,987,12.72303,3.224,282.3,0,12.35,59.12,1003,-2.074,-0.004,0.5,35.09999,14.06667,21.05833,0.6,25.96167,15.61333,14.06167,0.4,17.98667,16.4,9.264999,0.3
2019/10/27 6:00,988,12.71381,2.442,241.3,0,11.99,61.35,1004,-1.899,-0.003,0.5,35.09999,14.00333,21.065,0.6,25.955,15.6,14.055,0.4,18.005,16.4,9.281666,0.3
2019/10/27 6:30,989,12.70039,3.31,276.4,0,11.52,64.67,1004,-2.2,-0.004,0.5,35.09999,13.97,21.065,0.6,25.97167,15.59833,14.07167,0.4,17.99166,16.4,9.27,0.3
2019/10/27 7:00,990,12.68523,2.872,280.2,0,11.16,65.96,1004,4.526,0.008,0.5,35.09999,13.9,21.05167,0.6,25.98,15.585,14.08,0.4,18.00833,16.4,9.273333,0.3
2019/10/27 7:30,991,12.72498,2.239,288.8,0,11.73,64.02,1004,33.14,0.06,0.5,35.09999,13.84333,21.045,0.6,25.97333,15.54833,14.07333,0.4,18.01667,16.4,9.285,0.3
2019/10/27 8:00,992,12.93691,3.067,279.4,0,12.71,61.13,1004,79.66,0.143,0.5,35.09666,13.8,21.04333,0.6,25.98667,15.54833,14.08667,0.4,17.93833,16.4,9.236666,0.3
2019/10/27 8:30,993,13.61808,2.49,283.3,0,13.71,59.61,1004,103.2,0.186,0.5,35.09999,13.76,21.04333,0.6,25.98667,15.51667,14.08667,0.4,17.735,16.39,9.125,0.3
2019/10/27 9:00,994,14.00817,3.102,287.8,0,14.83,56.09,1005,175.9,0.317,0.5,35.10167,13.7,21.03,0.6,25.99166,15.50167,14.09167,0.4,17.68833,16.39,9.101666,0.3
2019/10/27 9:30,995,13.96626,4.436,281.8,0,15.87,53.32,1005,225,0.405,0.5,35.09833,13.69833,21.03167,0.6,25.98833,15.49833,14.08833,0.4,17.65,16.375,9.071667,0.3
2019/10/27 10:00,996,13.90284,6.203,277.5,0,16.77,49.03,1005,259.2,0.467,0.5,35.09999,13.65167,21.04,0.6,25.97167,15.47333,14.07167,0.4,17.64667,16.36333,9.073333,0.3
2019/10/27 10:30,997,13.88531,5.858,280,0,17.29,45.35,1005,282,0.508,0.5,35.09999,13.65,21.03833,0.6,25.975,15.40833,14.075,0.4,17.62667,16.345,9.058333,0.3
2019/10/27 11:00,998,13.86432,5.623,276,0,18.59,41.14,1004,337,0.607,0.5,35.09833,13.69,21.04667,0.6,25.97833,15.4,14.07833,0.4,17.645,16.35833,9.08,0.3
2019/10/27 11:30,999,13.81723,5.699,278.7,0,19.38,39.85,1004,358.5,0.645,0.5,35.09999,13.70167,21.06,0.6,25.97667,15.4,14.07667,0.4,17.71833,16.34833,9.106666,0.3
2019/10/27 12:00,1000,13.78615,5.35,279.1,0,19.94,38.02,1003,359,0.646,0.5,35.09666,13.78,21.04667,0.6,25.98,15.39833,14.08,0.4,17.675,16.34,9.078334,0.3
2019/10/27 12:30,1001,13.75581,4.702,281.8,0,20.79,37.24,1003,310.6,0.559,0.5,35.09999,13.855,21.03167,0.6,25.97667,15.37833,14.075,0.4,17.67667,16.305,9.093333,0.3
2019/10/27 13:00,1002,13.72129,4.939,274.1,0,21.88,32.58,1002,372.2,0.67,0.5,35.09999,13.97,21.04833,0.6,25.975,15.325,14.075,0.4,17.7,16.3,9.096666,0.3
2019/10/27 13:30,1003,13.68998,4.387,281.9,0,22.69,29.57,1001,354.8,0.639,0.5,35.09999,14.10667,21.03833,0.6,25.97333,15.3,14.07333,0.4,17.73333,16.3,9.108334,0.3
2019/10/27 14:00,1004,13.66781,3.785,284.6,0,23.19,28.68,1001,328.3,0.591,0.5,35.09833,14.255,21.04,0.6,25.95333,15.3,14.05333,0.4,17.77333,16.3,9.138333,0.3
2019/10/27 14:30,1005,13.64906,3.726,264.4,0,23.92,22.12,1000,298,0.536,0.5,35.07333,14.42667,21.01333,0.6,25.95,15.3,14.05,0.4,17.825,16.3,9.173333,0.3
2019/10/27 15:00,1006,13.65015,4.164,248.2,0,24.06,16.46,1000,260.7,0.469,0.5,34.995,14.63833,20.90667,0.6,25.95,15.3,14.05,0.4,17.805,16.3,9.163333,0.3
2019/10/27 15:30,1007,13.65964,4.626,270.7,0,23.76,19.73,1000,213.9,0.385,0.5,34.99666,14.82667,20.90167,0.6,25.94166,15.29833,14.04167,0.4,17.79833,16.29833,9.151667,0.3
2019/10/27 16:00,1008,13.68256,4.337,267.4,0,23.51,19.01,1000,159.8,0.288,0.5,34.98833,15.01167,20.90167,0.6,25.96333,15.3,14.06333,0.4,17.79333,16.28833,9.151667,0.3
2019/10/27 16:30,1009,13.69643,3.546,256.5,0,23.26,20.55,1000,101,0.182,0.5,34.99,15.165,20.90167,0.6,25.95167,15.3,14.05167,0.4,17.78333,16.26,9.145,0.3
2019/10/27 17:00,1010,13.29423,2.409,238.8,0,22.6,22.76,999,55.15,0.099,0.5,34.98667,15.29833,20.90333,0.6,25.93833,15.3,14.03833,0.4,18.00167,16.24,9.275,0.3
2019/10/27 17:30,1011,12.96955,1.59,230.8,0,21.12,26.91,999,11.76,0.021,0.5,34.97166,15.40167,20.9,0.6,25.945,15.30333,14.045,0.4,18.00167,16.21667,9.27,0.3
2019/10/27 18:00,1012,12.91494,0.364,212.5,0,18.06,39.91,999,-4.66,-0.008,0.5,34.97833,15.49333,20.9,0.6,25.92667,15.335,14.02667,0.4,17.96833,16.2,9.256666,0.3
2019/10/27 18:30,1013,12.89946,0.034,272,0,14.1,60.34,1000,-3.906,-0.007,0.5,34.97,15.54333,20.9,0.6,25.935,15.395,14.035,0.4,17.99167,16.2,9.268332,0.3
2019/10/27 19:00,1014,12.90458,0.01,269.9,0,12.46,67.31,1000,-1.83,-0.003,0.5,34.96667,15.59833,20.9,0.6,25.93667,15.4,14.03667,0.4,17.99333,16.2,9.266666,0.3
2019/10/27 19:30,1015,12.89801,0.198,308.1,0,11.86,68.66,1000,-1.081,-0.002,0.5,34.94667,15.6,20.9,0.6,25.93667,15.4,14.03667,0.4,17.98667,16.2,9.27,0.3
2019/10/27 20:00,1016,12.88516,0.023,244.1,0,10.9,78,1000,-1.428,-0.003,0.5,34.94667,15.59833,20.9,0.6,25.94166,15.41,14.04167,0.4,18.01833,16.2,9.278333,0.3
2019/10/27 20:30,1017,12.87537,0.028,212.4,0,10.54,76.35,1001,-1.227,-0.002,0.5,34.93834,15.57667,20.9,0.6,25.93667,15.47167,14.03667,0.4,18.02333,16.2,9.286666,0.3
2019/10/27 21:00,1018,12.86898,0.39,284.2,0,10.8,70.18,1001,-0.68,-0.001,0.5,34.935,15.53,20.9,0.6,25.93167,15.5,14.03167,0.4,18.02,16.2,9.276667,0.3
2019/10/27 21:30,1019,12.85728,0.135,304.5,0,10.57,74.77,1001,-1.138,-0.002,0.5,34.935,15.48833,20.9,0.6,25.93,15.505,14.03,0.4,18.00333,16.2,9.28,0.3
2019/10/27 22:00,1020,12.84997,0.294,278,0,9.99,76.94,1001,-1.442,-0.003,0.5,34.93166,15.40333,20.9,0.6,25.92167,15.54333,14.02167,0.4,17.98166,16.2,9.268332,0.3
2019/10/27 22:30,1021,12.84439,0.014,255.6,0,9.26,78.06,1001,-1.997,-0.004,0.5,34.91667,15.35333,20.9,0.6,25.92,15.54167,14.02,0.4,17.98833,16.2,9.261666,0.3
2019/10/27 23:00,1022,12.83598,0.676,56.52,0,8.66,79.42,1001,-1.264,-0.002,0.5,34.91833,15.28833,20.9,0.6,25.93167,15.56167,14.03167,0.4,17.96,16.2,9.251666,0.3
2019/10/27 23:30,1023,12.82242,0.031,231.5,0,8.07,83.2,1001,-1.619,-0.003,0.5,34.90833,15.2,20.895,0.6,25.925,15.59167,14.025,0.4,17.92167,16.2,9.23,0.3
2019/10/28 0:00,1024,12.82217,0.044,163.4,0,8.11,81.9,1000,-0.99,-0.002,0.5,34.92,15.13167,20.9,0.6,25.91833,15.6,14.01833,0.4,17.94166,16.2,9.233334,0.3
2019/10/28 0:30,1025,12.81287,1.028,256.7,0,11.24,60.43,1000,2.451,0.004,0.5,34.915,15.06,20.89833,0.6,25.92667,15.6,14.02667,0.4,17.945,16.2,9.243333,0.3
2019/10/28 1:00,1026,12.80192,2.418,274.9,0,14.85,44.72,1000,-1.317,-0.002,0.5,34.90166,14.97667,20.89333,0.6,25.90833,15.6,14.00833,0.4,17.965,16.2,9.256666,0.3
2019/10/28 1:30,1027,12.79711,4.288,271.7,0,16.07,42.97,1000,-1.094,-0.002,0.5,34.90166,14.89,20.89166,0.6,25.91166,15.6,14.01167,0.4,17.96167,16.2,9.248333,0.3
2019/10/28 2:00,1028,12.78748,4.301,283.4,0,16.61,40.2,1000,-1.588,-0.003,0.5,34.895,14.78833,20.89166,0.6,25.90333,15.6,14.00333,0.4,17.97833,16.2,9.261666,0.3
2019/10/28 2:30,1029,12.78151,4.933,274.5,0,16.77,40.54,1000,-1.451,-0.003,0.5,34.89,14.70667,20.88833,0.6,25.90667,15.6,14.00667,0.4,17.96833,16.2,9.261666,0.3
2019/10/28 3:00,1030,12.77063,5.385,264.1,0,16.76,41.55,1000,-1.328,-0.002,0.5,34.89667,14.635,20.89333,0.6,25.905,15.6,14.005,0.4,17.97,16.2,9.263333,0.3
2019/10/28 3:30,1031,12.7618,5.255,258.9,0,16.89,41.02,1000,-1.544,-0.003,0.5,34.89,14.58833,20.88833,0.6,25.90167,15.6,14.00167,0.4,17.99,16.2,9.271667,0.3
2019/10/28 4:00,1032,12.74442,3.851,276.8,0,16.47,42.46,1000,-2.012,-0.004,0.5,34.89167,14.49667,20.88667,0.6,25.90167,15.6,14.00167,0.4,17.98667,16.2,9.266666,0.3
2019/10/28 4:30,1033,12.7433,4.016,273.3,0,15.92,43.75,1000,-1.721,-0.003,0.5,34.88667,14.40833,20.885,0.6,25.90167,15.59667,14.00167,0.4,17.99,16.2,9.271667,0.3
2019/10/28 5:00,1034,12.72736,4.171,273.2,0,16.39,42.67,1000,-1.817,-0.003,0.5,34.88334,14.395,20.88,0.6,25.9,15.565,14,0.4,17.98667,16.2,9.263333,0.3
2019/10/28 5:30,1035,12.7143,3.376,257.1,0,15.43,46.49,1000,-2.077,-0.004,0.5,34.88833,14.32,20.88833,0.6,25.90167,15.55,14.00167,0.4,18.00333,16.2,9.273333,0.3
2019/10/28 6:00,1036,12.71086,3.278,267.5,0,15.68,44.52,1000,-2.045,-0.004,0.5,34.87,14.3,20.87,0.6,25.9,15.54833,14,0.4,18.03333,16.2,9.291667,0.3
2019/10/28 6:30,1037,12.69837,2.624,265.6,0,15.13,45.72,1001,-1.86,-0.003,0.5,34.87666,14.27833,20.875,0.6,25.90167,15.52667,14.00167,0.4,18.01167,16.2,9.266666,0.3
2019/10/28 7:00,1038,12.67811,3.58,271.6,0,15.52,43.08,1001,0.651,0.001,0.5,34.87,14.205,20.87,0.6,25.90167,15.5,14.00167,0.4,18.00333,16.2,9.271667,0.3
2019/10/28 7:30,1039,12.67944,3.779,273.3,0,15.18,46.47,1001,10.86,0.02,0.5,34.87333,14.2,20.87333,0.6,25.89667,15.5,13.99667,0.4,17.99333,16.2,9.271667,0.3
2019/10/28 8:00,1040,12.71595,4.343,272.7,0,15.62,46.47,1002,47.07,0.085,0.5,34.865,14.16,20.865,0.6,25.90167,15.5,14.00167,0.4,18.005,16.2,9.275,0.3
2019/10/28 8:30,1041,12.93173,4.169,277,0,16.22,44.13,1002,83.9,0.151,0.5,34.85833,14.10333,20.85666,0.6,25.915,15.46833,14.015,0.4,17.985,16.2,9.264999,0.3
2019/10/28 9:00,1042,13.34025,4.663,285.5,0,17.88,34.82,1003,126.2,0.227,0.5,34.85333,14.1,20.85333,0.6,25.90333,15.40667,14.00333,0.4,17.87833,16.2,9.198333,0.3
2019/10/28 9:30,1043,13.76197,5.713,287.8,0,19.05,29.48,1003,176.9,0.318,0.5,34.84666,14.07833,20.84667,0.6,25.91666,15.4,14.01667,0.4,17.58167,16.2,9.048333,0.3
2019/10/28 10:00,1044,13.83941,5.676,288.3,0,20.14,25.35,1003,217.3,0.391,0.5,34.855,14.015,20.855,0.6,25.91666,15.4,14.01667,0.4,17.59167,16.19833,9.046666,0.3
2019/10/28 10:30,1045,13.7985,5.651,290.4,0,20.59,23.67,1003,247.4,0.445,0.5,34.84333,14,20.84333,0.6,25.91166,15.4,14.01167,0.4,17.64167,16.2,9.065,0.3
2019/10/28 11:00,1046,13.76678,5.311,293.5,0,21.28,21.65,1003,278.5,0.501,0.5,34.85167,14.00667,20.85166,0.6,25.91,15.4,14.01,0.4,17.63833,16.2,9.069999,0.3
2019/10/28 11:30,1047,13.75924,5.501,298.9,0,21.92,17.79,1002,294,0.529,0.5,34.83833,14.07167,20.83833,0.6,25.90333,15.38833,14.00333,0.4,17.62,16.2,9.063334,0.3
2019/10/28 12:00,1048,13.73372,5.875,290.7,0,22.24,18.45,1002,296.4,0.533,0.5,34.84333,14.1,20.84333,0.6,25.91166,15.33167,14.01167,0.4,17.655,16.19667,9.076666,0.3
2019/10/28 12:30,1049,13.64052,6.322,284.2,0,22.55,18.34,1002,284.4,0.512,0.5,34.83833,14.15833,20.83833,0.6,25.905,15.30167,14.005,0.4,17.66667,16.19833,9.086666,0.3
2019/10/28 13:00,1050,13.7036,5.667,284.8,0,22.74,18.02,1001,290,0.522,0.5,34.83667,14.225,20.83667,0.6,25.89833,15.3,13.99833,0.4,17.72667,16.19167,9.111667,0.3
2019/10/28 13:30,1051,13.70211,5.649,288.6,0,23,18.61,1001,266.1,0.479,0.5,34.84833,14.31833,20.84833,0.6,25.895,15.3,13.995,0.4,17.73333,16.175,9.113333,0.3
2019/10/28 14:00,1052,13.69455,5.845,295.6,0,23.2,17.15,1001,250.1,0.45,0.5,34.83167,14.425,20.83167,0.6,25.9,15.3,14,0.4,17.72,16.135,9.123333,0.3
2019/10/28 14:30,1053,13.70491,6.47,283.6,0,23.2,17.5,1001,222,0.4,0.5,34.82666,14.565,20.82666,0.6,25.9,15.29833,14,0.4,17.75,16.12,9.125,0.3
2019/10/28 15:00,1054,13.71004,6.344,278.4,0,23.19,19.07,1000,187.8,0.338,0.5,34.82166,14.67667,20.82166,0.6,25.90167,15.3,14.00167,0.4,17.72667,16.10167,9.115,0.3
2019/10/28 15:30,1055,13.72497,7.05,274,0,22.62,20.77,1000,149,0.268,0.5,34.815,14.80167,20.815,0.6,25.90667,15.3,14.00667,0.4,17.72833,16.1,9.119999,0.3
2019/10/28 16:00,1056,13.53201,6.575,273.5,0,22.29,21.85,1001,111.8,0.201,0.5,34.81,14.925,20.81,0.6,25.9,15.3,14,0.4,17.72,16.1,9.105,0.3
2019/10/28 16:30,1057,13.37305,6.036,282.4,0,21.76,22.31,1000,68.06,0.123,0.5,34.82333,15.035,20.82333,0.6,25.895,15.3,13.995,0.4,17.91333,16.1,9.218333,0.3
2019/10/28 17:00,1058,13.07527,5.163,284.1,0,21.22,22.78,1000,36.22,0.065,0.5,34.82333,15.13667,20.82333,0.6,25.89667,15.3,13.99667,0.4,17.98,16.1,9.258333,0.3
2019/10/28 17:30,1059,12.94034,4.743,285.5,0,20.5,23.63,1001,11.78,0.021,0.5,34.815,15.22333,20.815,0.6,25.89333,15.3,13.99333,0.4,18,16.1,9.27,0.3
2019/10/28 18:00,1060,12.90966,3.911,287,0,19.77,25.22,1001,-1.174,-0.002,0.5,34.80833,15.3,20.80833,0.6,25.895,15.3,13.995,0.4,18.02167,16.1,9.288333,0.3
2019/10/28 18:30,1061,12.91399,2.692,280.9,0,18.51,28.72,1002,-3.154,-0.006,0.5,34.81166,15.385,20.81167,0.6,25.895,15.31333,13.995,0.4,17.98333,16.1,9.263333,0.3
2019/10/28 19:00,1062,12.90167,1.509,268.1,0,17,32.47,1002,-3.027,-0.005,0.5,34.80833,15.4,20.80833,0.6,25.89333,15.36667,13.99333,0.4,17.98166,16.1,9.263333,0.3
2019/10/28 19:30,1063,12.89051,1.301,252.2,0,16.05,36.04,1003,-2.682,-0.005,0.5,34.81666,15.415,20.81666,0.6,25.89333,15.39833,13.99333,0.4,17.98166,16.1,9.261666,0.3
2019/10/28 20:00,1064,12.88158,2.447,286.8,0,15.15,40.09,1003,-1.742,-0.003,0.5,34.81,15.46667,20.81,0.6,25.88333,15.4,13.98333,0.4,17.96667,16.1,9.261666,0.3
2019/10/28 20:30,1065,12.87313,3.011,296.5,0,16.35,34.93,1003,-1.747,-0.003,0.5,34.805,15.44,20.805,0.6,25.89166,15.4,13.99167,0.4,17.99166,16.1,9.263333,0.3
2019/10/28 21:00,1066,12.86375,1.887,319.2,0,16.03,33.93,1004,-2.807,-0.005,0.5,34.805,15.405,20.805,0.6,25.88667,15.40667,13.98667,0.4,17.99667,16.1,9.268332,0.3
2019/10/28 21:30,1067,12.85508,2.025,313.8,0,16.08,31.05,1004,-2.029,-0.004,0.5,34.805,15.4,20.805,0.6,25.88333,15.47667,13.98333,0.4,17.975,16.1,9.258333,0.3
2019/10/28 22:00,1068,12.84855,2.038,307.1,0,15.01,35.64,1004,-2.583,-0.005,0.5,34.80166,15.38667,20.80166,0.6,25.88833,15.49833,13.98833,0.4,17.99166,16.1,9.271667,0.3
2019/10/28 22:30,1069,12.83677,2.066,296.5,0,15.13,34.7,1004,-1.854,-0.003,0.5,34.80166,15.30167,20.80166,0.6,25.87167,15.5,13.97167,0.4,17.96,16.09833,9.255,0.3
2019/10/28 23:00,1070,12.8301,1.289,304,0,14.85,37.09,1004,-2.729,-0.005,0.5,34.80166,15.29167,20.80166,0.6,25.88,15.50167,13.98,0.4,17.91833,16.1,9.235,0.3
2019/10/28 23:30,1071,12.81935,1.372,282.7,0,13.6,42.85,1004,-2.851,-0.005,0.5,34.805,15.21167,20.805,0.6,25.88,15.54333,13.98,0.4,17.905,16.09833,9.218333,0.3
2019/10/29 0:00,1072,12.81081,1.738,280.9,0,12.7,48.08,1004,-1.929,-0.003,0.5,34.8,15.185,20.8,0.6,25.86333,15.55,13.96333,0.4,17.88166,16.1,9.205,0.3
2019/10/29 0:30,1073,12.80287,1.911,281.2,0,12.59,48.7,1004,-1.681,-0.003,0.5,34.8,15.10333,20.8,0.6,25.86666,15.54833,13.96667,0.4,17.9,16.1,9.214999,0.3
2019/10/29 1:00,1074,12.78555,1.59,260.7,0,13.4,44.98,1004,-2.168,-0.004,0.5,34.80166,15.05667,20.80166,0.6,25.85166,15.555,13.95167,0.4,17.89333,16.09833,9.214999,0.3
2019/10/29 1:30,1075,12.78008,0.483,182.8,0,11.37,54.05,1004,-3.516,-0.006,0.5,34.8,14.99667,20.8,0.6,25.84,15.555,13.94,0.4,17.92,16.1,9.231666,0.3
2019/10/29 2:00,1076,12.76587,0.703,280.9,0,11.24,54.16,1004,-2.008,-0.004,0.5,34.8,14.90833,20.8,0.6,25.84833,15.56167,13.94833,0.4,17.90833,16.1,9.219999,0.3
2019/10/29 2:30,1077,12.75538,0.256,170.8,0,9.07,69.18,1004,-3.114,-0.006,0.5,34.8,14.85667,20.8,0.6,25.83167,15.56667,13.93167,0.4,17.92333,16.1,9.233333,0.3
2019/10/29 3:00,1078,12.74,0.971,286.4,0,8.71,68.64,1004,-0.508,-0.001,0.5,34.8,14.77833,20.8,0.6,25.82166,15.56333,13.92167,0.4,17.94666,16.1,9.246667,0.3
2019/10/29 3:30,1079,12.73183,1.38,296.4,0,9.94,61.34,1004,-1.462,-0.003,0.5,34.80166,14.69833,20.80166,0.6,25.82166,15.56667,13.92167,0.4,17.93667,16.1,9.24,0.3
2019/10/29 4:00,1080,12.71824,1.5,309.5,0,10.39,58.91,1004,-1.136,-0.002,0.5,34.8,14.62,20.8,0.6,25.82333,15.54667,13.92333,0.4,17.95667,16.1,9.248333,0.3
2019/10/29 4:30,1081,12.70823,0.972,286.1,0,10.01,58.7,1004,-2.982,-0.005,0.5,34.8,14.54667,20.8,0.6,25.82,15.55667,13.92,0.4,17.955,16.1,9.243333,0.3
2019/10/29 5:00,1082,12.69796,1.075,290.4,0,9.88,59.87,1004,-1.186,-0.002,0.5,34.8,14.43333,20.8,0.6,25.83333,15.54833,13.93333,0.4,17.955,16.1,9.256666,0.3
2019/10/29 5:30,1083,12.69386,0.947,284,0,9.37,62.44,1005,-2.154,-0.004,0.5,34.8,14.35833,20.8,0.6,25.81833,15.54833,13.91833,0.4,17.94666,16.1,9.25,0.3
2019/10/29 6:00,1084,12.68792,0.22,188,0,8.04,68.74,1005,-3.009,-0.005,0.5,34.8,14.27667,20.8,0.6,25.81666,15.53167,13.91667,0.4,17.92833,16.1,9.236666,0.3
2019/10/29 6:30,1085,12.68359,0.273,299.9,0,6.398,80.5,1005,-2.061,-0.004,0.5,34.79833,14.19667,20.79833,0.6,25.81833,15.5,13.91833,0.4,17.925,16.1,9.231666,0.3
2019/10/29 7:00,1086,12.66092,1.248,286,0,7.455,74.84,1005,3.624,0.007,0.5,34.8,14.10667,20.8,0.6,25.82166,15.5,13.92167,0.4,17.91166,16.1,9.223332,0.3
2019/10/29 7:30,1087,12.68274,1.082,296.1,0,8.69,71.74,1006,24.48,0.044,0.5,34.80166,14.01667,20.80166,0.6,25.81333,15.49667,13.91333,0.4,17.91166,16.1,9.226666,0.3
2019/10/29 8:00,1088,12.89525,1.583,288,0,10.57,66.99,1006,64.11,0.115,0.5,34.8,13.93667,20.8,0.6,25.83667,15.455,13.93667,0.4,17.91333,16.1,9.218333,0.3
2019/10/29 8:30,1089,13.4976,1.757,299.9,0,12.54,58.82,1007,109.2,0.197,0.5,34.8,13.855,20.8,0.6,25.845,15.40167,13.945,0.4,17.665,16.1,9.08,0.3
2019/10/29 9:00,1090,14.01539,1.736,290.1,0,14.48,50.16,1007,158.6,0.285,0.5,34.8,13.79167,20.8,0.6,25.86666,15.4,13.96667,0.4,17.55667,16.1,9.025,0.3
2019/10/29 9:30,1091,13.95206,2.127,292.5,0,15.89,41.36,1007,207.3,0.373,0.5,34.8,13.705,20.8,0.6,25.845,15.4,13.945,0.4,17.54833,16.1,9.026667,0.3
2019/10/29 10:00,1092,13.93278,2.081,289.8,0,16.9,35,1007,246.8,0.444,0.5,34.8,13.675,20.8,0.6,25.845,15.39667,13.945,0.4,17.585,16.1,9.046666,0.3
2019/10/29 10:30,1093,13.85819,1.844,291.9,0,17.61,33.84,1007,282.4,0.508,0.5,34.8,13.60167,20.8,0.6,25.82,15.33167,13.92,0.4,17.57833,16.1,9.039999,0.3
2019/10/29 11:00,1094,13.81256,1.653,292.8,0,18.76,27.52,1006,311.8,0.561,0.5,34.79833,13.6,20.79833,0.6,25.835,15.3,13.935,0.4,17.56333,16.1,9.026667,0.3
2019/10/29 11:30,1095,13.77444,1.912,250.3,0,19.53,26.4,1006,330.8,0.595,0.5,34.8,13.60833,20.8,0.6,25.845,15.3,13.945,0.4,17.61333,16.1,9.063334,0.3
2019/10/29 12:00,1096,13.59811,1.811,210.4,0,20.09,27.05,1006,342.1,0.616,0.5,34.8,13.69333,20.8,0.6,25.84,15.295,13.94,0.4,17.60333,16.1,9.051666,0.3
2019/10/29 12:30,1097,13.59811,1.237,160.2,0,21.01,26.48,1005,292.3,0.526,0.5,34.79833,13.745,20.79833,0.6,25.83,15.22833,13.93,0.4,17.61667,16.09833,9.051666,0.3
2019/10/29 13:00,1098,13.65998,0.923,224.8,0,22.12,24.97,1005,328.3,0.591,0.5,34.8,13.845,20.8,0.6,25.81,15.2,13.91,0.4,17.655,16.09667,9.076666,0.3
2019/10/29 13:30,1099,13.53391,1.682,236.6,0,22.94,24.3,1004,316.3,0.569,0.5,34.79667,13.97,20.79667,0.6,25.80833,15.2,13.90833,0.4,17.745,16.08167,9.125,0.3
2019/10/29 14:00,1100,13.61319,1.212,223.5,0,23.53,24,1004,293.8,0.529,0.5,34.8,14.13833,20.8,0.6,25.80667,15.195,13.90667,0.4,17.74833,16.05833,9.119999,0.3
2019/10/29 14:30,1101,13.59923,1.128,194.1,0,24.01,23.75,1003,261.1,0.47,0.5,34.79833,14.3,20.79833,0.6,25.805,15.2,13.905,0.4,17.755,16.02833,9.126666,0.3
2019/10/29 15:00,1102,13.5964,1.301,206.4,0,24.44,22.68,1003,217.9,0.392,0.5,34.8,14.51333,20.8,0.6,25.805,15.17833,13.905,0.4,17.73667,16.00667,9.115,0.3
2019/10/29 15:30,1103,13.60638,1.403,178,0,24.51,22.2,1003,179.5,0.323,0.5,34.79833,14.72167,20.79833,0.6,25.815,15.16333,13.915,0.4,17.70167,16.00167,9.098332,0.3
2019/10/29 16:00,1104,13.62807,1.21,165.3,0,24.72,21.38,1003,133,0.239,0.5,34.79833,14.92833,20.79833,0.6,25.81333,15.14167,13.91333,0.4,17.67,16,9.091666,0.3
2019/10/29 16:30,1105,13.6476,1.308,166.4,0,24.31,22.02,1003,84.8,0.153,0.5,34.79667,15.13167,20.79667,0.6,25.81666,15.185,13.91667,0.4,17.69333,16,9.083333,0.3
